"symbol","date_obs","open_pr","high_pr","low_pr","close_pr","close_adj","volume","split_coeff"
"MSFT","2016-11-16","58.94","59.66","58.81","59.65","58.3529","27332475","1"
"MSFT","2016-11-17","60.41","60.95","59.965","60.64","59.3213","32132728","1"
"MSFT","2016-11-18","60.78","61.14","60.3","60.35","59.0376","27686311","1"
"MSFT","2016-11-21","60.5","60.97","60.42","60.86","59.5365","19652595","1"
"MSFT","2016-11-22","60.98","61.26","60.805","61.12","59.7909","23206700","1"
"MSFT","2016-11-23","61.01","61.1","60.25","60.4","59.0865","21848913","1"
"MSFT","2016-11-25","60.3","60.53","60.13","60.53","59.2137","8409616","1"
"MSFT","2016-11-28","60.34","61.02","60.21","60.61","59.292","20732619","1"
"MSFT","2016-11-29","60.65","61.41","60.52","61.09","59.7615","22366721","1"
"MSFT","2016-11-30","60.86","61.18","60.215","60.26","58.9496","34655435","1"
"MSFT","2016-12-01","60.11","60.15","58.935","59.2","57.9126","34542121","1"
"MSFT","2016-12-02","59.08","59.47","58.8","59.25","57.9616","25515665","1"
"MSFT","2016-12-05","59.7","60.585","59.56","60.22","58.9105","23552658","1"
"MSFT","2016-12-06","60.43","60.46","59.8","59.95","58.6463","19907035","1"
"MSFT","2016-12-07","60.01","61.38","59.8","61.37","60.0355","30808969","1"
"MSFT","2016-12-08","61.3","61.58","60.84","61.01","59.6833","21220753","1"
"MSFT","2016-12-09","61.18","61.99","61.125","61.97","60.6224","27349356","1"
"MSFT","2016-12-12","61.82","62.3","61.72","62.17","60.8181","20198081","1"
"MSFT","2016-12-13","62.5","63.42","62.24","62.98","61.6104","35718868","1"
"MSFT","2016-12-14","63","63.45","62.53","62.68","61.317","30352654","1"
"MSFT","2016-12-15","62.7","63.1535","62.3","62.58","61.2191","27669868","1"
"MSFT","2016-12-16","62.95","62.95","62.115","62.3","60.9452","42453083","1"
"MSFT","2016-12-19","62.56","63.77","62.42","63.62","62.2365","34338219","1"
"MSFT","2016-12-20","63.69","63.8","63.025","63.54","62.1583","26028379","1"
"MSFT","2016-12-21","63.43","63.7","63.12","63.54","62.1583","17096304","1"
"MSFT","2016-12-22","63.84","64.1","63.405","63.55","62.168","22176585","1"
"MSFT","2016-12-23","63.45","63.54","62.8","63.24","61.8648","12403819","1"
"MSFT","2016-12-27","63.21","64.07","63.21","63.28","61.9039","11763173","1"
"MSFT","2016-12-28","63.4","63.4","62.83","62.99","61.6202","14653348","1"
